cpu_percent,memory_percent,disk_percent,db_connections,db_pool_usage,api_latency_ms,error_rate,request_rate,queue_depth,network_latency_ms,traffic_growth_percent,failure_type,failure_in_next_window
29.66,36.51,53.5,95.64,100.0,691.09,8.96,1034.54,67.78,59.6,21.58,database_connection_exhaustion,1
45.44,48.32,29.39,98.69,92.52,955.7,6.63,1225.96,73.62,1.0,4.58,database_connection_exhaustion,1
45.46,34.09,34.37,93.25,94.63,721.75,7.05,1071.04,104.6,36.22,0.19,database_connection_exhaustion,1
64.71,51.32,56.19,82.54,89.82,558.32,7.65,977.62,155.58,27.79,2.25,database_connection_exhaustion,1
50.41,56.93,39.52,50.54,33.41,152.99,1.9,927.02,42.3,37.55,7.74,none,0
52.46,41.01,47.79,96.36,99.71,469.16,6.99,762.44,142.73,48.71,15.05,database_connection_exhaustion,1
23.83,44.01,63.4,37.16,39.55,1304.92,15.54,1775.81,183.29,54.23,44.84,api_availability_degradation,1
35.58,40.69,41.5,36.66,76.06,241.07,1.24,894.87,0.0,25.09,-3.09,none,0
36.45,52.58,66.62,34.08,66.55,167.28,2.21,890.11,38.2,46.8,19.68,none,0
57.81,43.65,72.94,25.86,36.4,164.07,0.58,769.21,16.16,45.68,3.41,none,0
73.21,53.25,47.33,50.52,31.56,146.82,3.47,949.23,34.54,37.58,0.9,none,0
25.94,48.01,34.64,68.17,59.81,1067.94,9.22,1806.51,195.11,73.66,31.51,api_availability_degradation,1
24.54,73.14,55.51,51.36,32.14,218.31,2.33,1015.12,33.15,44.27,5.98,none,0
50.65,47.89,37.47,96.0,99.29,1087.49,8.11,1354.56,112.78,42.81,8.44,database_connection_exhaustion,1
39.66,48.08,44.05,49.12,3.05,123.06,1.55,1625.41,30.07,40.62,-3.34,none,0
32.8,74.39,43.9,59.12,44.15,121.88,2.31,1332.12,27.22,39.64,0.87,none,0
28.58,17.68,26.95,41.68,28.95,144.12,1.09,823.41,20.27,54.51,7.35,none,0
77.37,93.67,39.34,46.73,48.63,496.35,6.34,848.01,139.71,39.26,-5.98,memory_exhaustion,1
38.28,42.46,61.99,27.44,25.85,972.53,11.33,1731.85,169.6,9.86,37.05,api_availability_degradation,1
73.48,87.9,38.61,61.49,19.81,578.62,4.52,988.27,112.06,34.44,11.53,memory_exhaustion,1
15.09,53.89,95.25,57.04,37.22,463.16,2.28,1004.45,15.42,32.68,32.2,disk_exhaustion,1
99.15,71.41,78.65,62.33,30.8,912.9,5.02,1678.93,129.92,21.16,29.96,cpu_saturation,1
57.8,57.03,40.18,45.08,17.87,148.33,1.75,1111.97,15.01,28.92,7.47,none,0
46.38,43.3,69.55,46.94,47.68,726.62,8.04,766.64,189.5,663.73,23.93,network_degradation,1
38.85,46.71,97.15,45.57,49.68,327.01,7.63,813.17,37.48,40.4,17.44,disk_exhaustion,1
67.86,91.68,52.99,46.7,40.02,460.86,3.18,1309.26,72.01,16.5,-5.87,memory_exhaustion,1
48.52,42.37,15.02,44.44,56.24,1344.43,10.72,1352.6,226.53,35.18,58.96,api_availability_degradation,1
0.0,67.13,42.38,50.7,66.73,178.05,1.8,1216.58,7.8,20.05,7.71,none,0
40.31,64.86,72.27,97.57,96.18,713.06,8.8,776.79,94.14,30.2,9.51,database_connection_exhaustion,1
51.17,44.09,74.86,55.97,34.61,130.7,4.12,684.76,19.2,29.93,-6.59,none,0
43.37,55.72,31.1,37.48,32.94,91.48,2.3,808.75,9.45,53.2,17.51,none,0
92.67,79.71,45.17,44.26,55.74,627.4,7.93,2149.99,180.52,45.52,27.78,cpu_saturation,1
39.88,32.95,49.82,32.07,68.07,217.05,1.55,1116.74,20.94,1.95,-2.62,none,0
51.57,45.3,66.09,37.94,27.88,186.98,1.01,1256.65,0.04,31.46,10.97,none,0
41.68,53.45,57.1,22.66,39.55,161.37,1.9,983.72,21.72,19.98,12.53,none,0
59.81,37.06,56.83,34.62,45.7,295.33,2.22,811.09,26.21,34.57,6.24,none,0
49.86,24.59,29.91,75.03,39.59,221.31,0.85,474.62,14.24,80.32,-9.11,none,0
65.35,93.86,43.77,31.48,53.46,760.72,5.28,1184.89,115.53,72.6,7.39,memory_exhaustion,1
30.33,45.13,41.87,43.72,42.17,123.55,2.01,733.71,0.0,31.43,26.52,none,0
32.31,55.34,52.99,50.81,58.21,159.68,1.6,1371.63,38.1,42.92,5.42,none,0
96.81,82.08,74.15,51.42,53.49,539.26,3.25,1305.89,130.93,54.75,31.17,cpu_saturation,1
15.79,45.59,55.53,29.35,37.77,150.98,1.6,591.39,40.5,50.86,-2.42,none,0
51.84,53.74,65.25,29.51,39.7,180.88,0.86,911.89,39.02,44.65,5.21,none,0
42.38,60.23,86.35,89.45,92.7,899.63,7.47,802.95,137.6,35.6,13.86,database_connection_exhaustion,1
39.01,47.59,75.32,40.82,36.38,835.84,10.32,614.78,108.34,576.49,25.04,network_degradation,1
61.55,66.82,76.67,86.69,100.0,969.86,4.43,444.27,85.68,37.59,14.63,database_connection_exhaustion,1
12.33,59.16,47.1,89.51,100.0,937.56,9.45,588.88,135.53,46.98,-0.94,database_connection_exhaustion,1
53.67,40.97,72.51,48.24,30.69,44.5,1.61,1376.97,16.39,25.89,1.84,none,0
17.45,42.2,39.91,87.34,95.55,1322.75,3.33,1196.21,103.97,55.37,10.75,database_connection_exhaustion,1
95.35,88.13,76.57,53.06,41.74,586.2,3.52,1048.59,92.85,66.29,9.49,memory_exhaustion,1
54.06,61.77,47.19,55.04,31.54,632.86,8.41,945.37,120.86,363.28,-1.09,network_degradation,1
26.12,71.43,64.94,71.39,17.98,213.63,1.38,902.04,30.36,29.51,3.57,none,0
15.55,67.97,60.89,94.44,93.61,675.09,5.26,806.79,121.33,17.81,3.03,database_connection_exhaustion,1
49.28,26.75,44.42,47.41,63.15,191.96,1.14,1249.77,25.27,1.0,19.41,none,0
91.51,53.04,59.54,45.11,40.66,796.14,1.53,1405.15,98.87,44.05,39.59,cpu_saturation,1
75.61,86.28,72.49,44.55,62.01,831.87,5.95,831.95,75.46,38.13,6.78,memory_exhaustion,1
77.85,90.22,62.24,46.04,59.17,763.56,2.85,1446.66,120.51,43.62,-4.95,memory_exhaustion,1
60.45,74.32,58.36,91.42,91.51,771.55,7.47,954.81,161.12,51.79,-0.6,database_connection_exhaustion,1
34.04,50.57,62.26,44.7,18.6,794.61,9.52,626.85,104.47,538.0,-4.64,network_degradation,1
44.05,59.6,35.3,35.08,59.89,150.98,1.38,990.35,48.35,39.64,5.46,none,0
20.76,56.03,42.68,98.4,82.6,970.5,7.63,743.73,144.71,55.92,5.61,database_connection_exhaustion,1
18.06,43.11,41.04,93.65,100.0,1063.87,8.31,1176.42,149.05,32.12,5.6,database_connection_exhaustion,1
65.29,42.52,31.31,35.9,24.4,100.85,1.58,861.64,39.72,44.55,8.65,none,0
31.84,27.08,63.52,97.5,94.13,919.05,6.23,945.86,134.97,41.36,11.39,database_connection_exhaustion,1
38.8,54.2,70.57,19.71,17.14,147.77,2.04,1071.72,11.84,53.5,24.08,none,0
73.92,88.7,53.11,63.05,49.25,386.82,4.59,618.11,93.36,49.41,4.1,memory_exhaustion,1
44.82,70.37,50.7,33.56,45.8,80.16,1.62,818.79,33.38,37.3,3.59,none,0
56.02,74.4,65.41,93.51,95.06,687.37,8.58,1214.07,78.28,46.79,7.22,database_connection_exhaustion,1
72.22,92.74,45.85,53.74,44.95,504.26,5.64,902.92,76.36,21.36,24.17,memory_exhaustion,1
43.24,36.96,65.69,47.54,37.98,137.91,0.95,1078.32,11.17,53.53,6.73,none,0
53.82,54.66,39.32,64.61,7.55,204.48,1.37,1247.64,51.61,33.59,1.2,none,0
28.0,46.02,48.75,96.79,98.79,745.5,9.24,955.7,83.98,35.44,-12.61,database_connection_exhaustion,1
37.24,48.57,50.9,34.62,46.9,188.82,0.34,1031.55,44.47,33.81,-0.47,none,0
75.01,67.92,50.58,62.7,37.11,142.22,0.65,539.22,21.3,33.62,9.27,none,0
43.16,38.11,45.13,68.87,54.44,221.14,2.92,835.63,42.3,26.47,15.33,none,0
13.29,54.83,42.15,39.89,35.1,1328.4,11.75,1945.2,216.92,36.78,52.4,api_availability_degradation,1
82.58,59.61,59.3,38.02,49.65,207.69,0.53,1314.65,23.6,36.52,10.22,none,0
51.88,36.17,68.14,47.94,44.94,163.73,1.48,1110.39,26.89,35.64,-12.68,none,0
27.55,69.39,51.36,63.26,60.63,1128.43,1.23,1737.74,164.98,35.28,30.62,api_availability_degradation,1
40.95,51.95,94.29,60.82,49.58,520.44,4.69,1449.99,37.52,43.91,15.73,disk_exhaustion,1
41.72,56.52,27.81,36.89,31.82,734.06,6.73,772.5,218.99,441.66,-2.94,network_degradation,1
20.19,50.61,53.05,41.26,15.91,147.86,1.64,1177.42,37.25,58.27,-15.46,none,0
82.57,62.72,33.2,46.32,29.29,128.42,3.1,1239.62,7.2,28.52,5.01,none,0
49.7,40.71,49.51,33.21,39.49,185.2,1.74,824.67,46.98,55.96,4.99,none,0
71.44,69.28,32.28,62.91,70.86,182.83,1.13,913.58,55.66,52.53,10.47,none,0
29.88,48.91,57.85,41.83,17.39,200.19,0.9,807.72,24.61,36.55,3.78,none,0
62.53,46.89,46.03,43.07,31.6,148.58,0.74,1531.81,31.92,31.93,12.06,none,0
100.0,68.86,57.03,60.73,4.06,413.08,4.71,1832.04,86.83,31.66,21.24,cpu_saturation,1
32.14,50.52,74.09,45.15,24.6,873.77,6.21,842.73,110.71,605.36,4.3,network_degradation,1
56.45,65.62,35.89,67.91,33.3,183.44,3.74,602.57,37.58,35.29,9.47,none,0
7.81,40.95,60.21,65.24,51.08,223.64,1.11,856.3,35.15,34.37,16.23,none,0
11.92,33.13,67.94,91.66,95.13,1014.25,6.8,792.15,105.69,29.17,8.01,database_connection_exhaustion,1
57.34,53.28,61.77,53.74,47.23,132.79,1.01,977.89,37.23,47.93,6.44,none,0
36.87,36.74,48.03,55.06,32.5,157.06,1.54,971.53,40.18,43.41,-6.97,none,0
37.39,33.63,66.13,27.21,39.68,164.68,1.44,843.93,15.09,28.6,-5.77,none,0
58.92,92.15,50.66,35.35,49.02,604.84,3.87,1161.95,108.36,7.4,-10.19,memory_exhaustion,1
71.93,94.67,80.62,44.5,46.68,654.12,3.31,908.48,50.54,33.27,15.16,memory_exhaustion,1
51.9,47.52,49.14,69.82,40.6,621.06,8.95,729.3,122.58,413.08,11.29,network_degradation,1
28.34,58.57,62.41,50.11,49.43,1193.23,10.1,2044.99,159.37,45.74,54.31,api_availability_degradation,1
47.37,32.41,52.53,44.03,38.23,100.83,0.26,1367.79,41.12,40.52,-1.5,none,0
48.06,45.19,60.85,52.69,55.31,987.78,7.99,1949.55,207.93,73.12,41.63,api_availability_degradation,1
49.39,72.98,42.53,87.83,93.91,821.11,4.45,1324.13,138.22,36.24,9.31,database_connection_exhaustion,1
78.97,89.91,55.85,59.54,50.3,856.29,0.52,881.68,76.5,25.57,-18.44,memory_exhaustion,1
22.69,61.02,64.79,41.01,23.67,90.08,1.7,830.97,21.57,38.89,0.87,none,0
25.04,34.32,44.09,46.35,45.73,209.33,0.37,1076.6,18.2,69.63,3.94,none,0
49.11,52.36,49.3,53.91,67.66,195.91,1.38,1444.17,37.23,23.53,5.55,none,0
36.88,53.77,26.81,69.05,54.18,57.93,1.98,1110.82,51.98,65.86,23.93,none,0
53.11,44.24,69.68,12.58,25.87,128.31,1.45,1040.87,49.12,30.25,-7.92,none,0
3.29,45.35,45.91,53.3,67.88,221.75,2.37,857.61,27.57,46.37,-2.71,none,0
50.62,33.63,71.39,94.98,90.4,909.75,8.78,467.95,66.37,58.57,7.81,database_connection_exhaustion,1
52.07,51.04,64.41,25.92,33.85,80.19,0.37,1207.73,21.17,30.06,15.91,none,0
59.46,37.41,49.81,31.41,53.22,139.65,2.08,1038.21,0.81,36.04,-10.35,none,0
53.33,57.91,53.16,20.52,48.14,796.78,6.36,1551.72,206.41,40.99,42.75,api_availability_degradation,1
52.32,53.95,34.89,39.24,76.94,219.78,2.17,1068.58,15.18,37.57,0.78,none,0
96.23,69.99,14.7,57.86,58.14,1020.34,6.66,1497.54,85.01,48.4,40.59,cpu_saturation,1
43.28,58.28,39.22,47.99,48.64,98.62,1.42,896.81,18.54,31.92,-12.07,none,0
68.43,38.88,71.65,44.52,44.85,1282.07,11.91,1982.85,198.23,28.87,34.67,api_availability_degradation,1
72.17,39.86,51.63,89.55,89.76,1002.54,5.91,830.38,46.7,6.49,13.02,database_connection_exhaustion,1
49.21,41.03,54.65,57.48,30.19,147.46,0.88,1246.67,31.18,39.65,-7.41,none,0
58.16,40.81,57.31,84.29,96.67,1070.07,8.61,961.09,128.11,51.51,-3.82,database_connection_exhaustion,1
50.92,45.2,38.13,95.51,93.28,1015.67,9.96,1039.74,56.75,48.59,14.49,database_connection_exhaustion,1
63.22,48.58,42.17,38.44,29.53,175.37,0.67,1301.08,40.38,43.41,-15.36,none,0
43.8,49.69,69.1,1.31,33.61,191.85,1.23,883.17,5.82,55.88,0.15,none,0
75.31,92.64,54.51,37.74,36.72,478.97,5.64,1263.29,84.51,33.83,2.47,memory_exhaustion,1
53.91,80.53,62.77,100.0,90.19,1125.74,9.09,1344.96,151.12,40.25,13.9,database_connection_exhaustion,1
75.98,62.63,35.1,53.85,16.66,1264.61,7.31,1159.46,153.79,500.26,10.01,network_degradation,1
50.12,45.89,74.67,97.22,93.91,909.39,7.9,1265.71,116.94,47.86,9.03,database_connection_exhaustion,1
24.7,45.07,51.12,36.56,40.25,158.98,1.28,1213.49,43.04,4.32,-9.33,none,0
40.89,45.97,57.26,85.81,87.54,731.53,7.8,876.53,145.77,54.37,9.25,database_connection_exhaustion,1
49.29,51.72,67.82,38.11,60.85,249.25,0.65,936.49,9.15,25.52,8.93,none,0
33.31,62.64,58.35,56.52,25.6,314.87,8.63,834.53,95.71,320.33,-4.0,network_degradation,1
36.51,60.52,64.36,93.98,91.18,879.17,5.05,994.96,157.69,29.3,-19.12,database_connection_exhaustion,1
25.71,46.27,35.53,100.0,97.34,1062.08,11.31,1407.89,160.34,29.88,4.62,database_connection_exhaustion,1
43.18,50.3,90.4,33.91,42.43,99.35,0.05,780.06,17.1,30.62,11.12,none,0
60.17,51.81,57.69,86.84,100.0,915.9,6.45,704.45,96.63,70.11,11.85,database_connection_exhaustion,1
40.24,66.97,44.5,82.13,97.12,797.48,8.61,1001.57,182.39,27.86,9.73,database_connection_exhaustion,1
43.99,42.26,75.68,32.41,73.39,126.82,1.0,1591.47,35.45,64.33,4.74,none,0
1.12,62.14,94.91,43.32,53.88,437.29,2.67,1090.66,27.14,51.12,2.2,disk_exhaustion,1
73.91,90.92,37.37,56.84,42.93,182.89,5.93,857.06,126.32,23.05,-3.73,memory_exhaustion,1
59.47,38.42,70.4,53.49,53.42,119.53,1.39,1457.88,55.16,39.28,6.92,none,0
63.06,58.95,60.18,35.96,46.0,223.29,1.79,1657.92,42.17,26.22,0.89,none,0
57.87,63.84,80.74,40.01,52.02,214.02,2.74,692.37,39.3,22.1,-1.02,none,0
35.69,32.6,37.27,31.43,49.55,151.69,0.18,1685.35,22.67,20.06,10.83,none,0
32.81,54.69,44.91,88.53,98.15,1004.24,2.42,869.47,171.73,28.44,-3.15,database_connection_exhaustion,1
54.62,63.74,52.44,22.59,25.14,235.36,0.2,638.59,23.51,19.23,10.33,none,0
51.21,42.63,59.33,71.75,23.49,205.83,2.15,973.68,32.5,45.35,-4.77,none,0
58.6,35.06,38.6,37.27,49.27,125.03,0.92,1238.19,25.0,28.02,8.95,none,0
45.43,55.32,52.94,57.67,23.57,212.06,0.77,590.84,18.18,34.76,-2.35,none,0
60.16,39.55,21.13,39.74,75.68,96.8,0.78,899.08,53.16,34.61,-5.23,none,0
49.33,55.84,39.07,36.53,61.89,170.45,2.15,986.47,45.85,44.4,-0.24,none,0
31.87,68.52,70.12,97.07,94.46,785.91,6.91,1329.75,100.35,17.46,2.41,database_connection_exhaustion,1
10.42,39.78,62.66,40.94,40.37,205.34,0.73,783.45,34.96,29.32,-2.17,none,0
28.92,41.21,61.58,44.27,24.4,239.2,0.86,938.62,36.55,72.44,0.9,none,0
81.18,93.42,57.04,40.72,50.87,370.74,7.53,543.67,156.91,32.31,-21.38,memory_exhaustion,1
51.0,45.75,49.88,51.5,46.35,171.78,1.86,815.45,17.66,35.79,9.68,none,0
92.51,54.83,47.7,66.04,63.48,263.89,7.81,1685.79,191.1,32.85,40.74,cpu_saturation,1
41.48,53.45,69.42,88.92,96.62,671.32,7.22,722.32,109.81,9.38,9.46,database_connection_exhaustion,1
42.29,53.41,82.35,84.51,82.92,713.47,7.25,539.02,152.62,23.64,33.64,database_connection_exhaustion,1
28.95,64.06,91.42,37.72,47.59,594.12,4.54,722.93,36.36,46.12,3.1,disk_exhaustion,1
23.27,32.2,69.97,62.62,65.4,1050.09,8.16,1083.32,189.84,442.84,6.39,network_degradation,1
56.2,53.33,37.27,25.2,69.01,726.38,11.2,895.8,166.57,574.63,0.32,network_degradation,1
33.47,34.69,63.92,38.25,35.4,161.14,2.08,1197.98,30.83,5.59,14.54,none,0
93.69,65.18,88.66,75.87,38.11,683.39,5.56,1692.94,143.52,23.33,18.52,cpu_saturation,1
47.5,45.66,39.79,39.41,62.34,190.43,1.58,775.73,9.61,25.87,5.12,none,0
91.68,80.92,60.77,5.23,46.64,474.69,2.31,2226.83,128.76,39.02,39.05,cpu_saturation,1
53.82,54.91,97.02,36.47,15.15,543.66,2.6,1066.2,36.37,53.57,-3.4,disk_exhaustion,1
64.43,45.19,96.04,47.59,35.15,616.78,4.32,1015.24,48.41,39.58,-11.49,disk_exhaustion,1
37.12,46.54,39.56,47.9,47.51,137.01,2.1,740.83,31.9,49.02,-0.42,none,0
91.58,76.07,80.41,35.85,51.77,465.84,5.21,2247.8,161.73,41.18,16.62,cpu_saturation,1
40.04,70.12,33.83,32.64,72.8,1092.74,5.94,1097.3,128.07,532.81,-8.6,network_degradation,1
42.47,43.43,58.15,28.28,63.14,173.36,1.36,1033.32,25.46,14.15,-4.91,none,0
39.71,57.77,63.41,36.6,30.65,187.74,1.65,844.6,12.87,29.86,8.92,none,0
92.66,67.49,87.36,39.42,33.09,640.17,3.45,1826.42,131.95,48.92,56.82,cpu_saturation,1
60.14,55.86,48.34,57.32,49.49,155.95,1.07,1068.65,55.25,41.21,2.36,none,0
45.66,43.43,43.88,56.9,63.08,1456.06,15.0,1552.3,150.08,26.38,37.42,api_availability_degradation,1
28.27,56.46,65.13,53.42,47.24,200.29,1.96,849.37,0.0,35.04,5.39,none,0
42.31,43.56,42.3,29.51,51.52,204.41,0.5,984.68,41.83,37.17,12.16,none,0
50.92,44.05,74.73,40.99,40.99,1175.52,4.71,1801.43,159.67,37.29,36.07,api_availability_degradation,1
94.56,81.95,22.66,62.97,48.75,953.02,6.85,2127.25,183.16,49.77,46.57,cpu_saturation,1
46.31,45.84,72.02,30.28,51.36,119.6,1.77,1066.98,32.44,39.73,10.33,none,0
24.02,49.46,48.73,86.08,87.16,787.39,8.12,1246.64,95.71,35.79,-1.15,database_connection_exhaustion,1
48.98,42.23,28.71,89.51,95.77,1106.13,7.33,948.12,130.82,59.59,3.99,database_connection_exhaustion,1
58.17,58.49,70.66,49.81,49.8,161.97,2.19,892.06,37.96,74.46,8.59,none,0
40.65,57.45,44.94,30.33,24.31,139.59,2.79,867.2,43.14,35.81,1.13,none,0
21.99,70.03,63.06,60.77,41.13,174.82,2.25,977.32,16.9,25.85,0.77,none,0
42.56,44.13,65.17,38.08,36.04,196.97,1.94,693.74,10.04,23.38,4.69,none,0
66.71,59.01,83.69,48.02,61.64,121.44,0.26,922.84,28.12,78.77,5.0,none,0
59.47,40.88,57.15,88.81,91.57,1265.59,9.12,1088.32,146.69,34.27,12.94,database_connection_exhaustion,1
99.02,63.21,49.48,70.47,63.19,258.65,5.35,1791.13,131.05,63.12,56.73,cpu_saturation,1
85.37,56.02,52.7,48.32,43.44,577.9,6.34,1812.18,194.77,40.13,54.78,cpu_saturation,1
45.16,47.26,62.08,47.7,48.83,1118.46,10.08,1620.1,125.01,24.4,41.94,api_availability_degradation,1
21.46,40.89,82.07,92.72,90.89,1065.65,5.56,800.67,100.18,33.39,9.42,database_connection_exhaustion,1
30.3,44.92,50.57,49.4,24.71,126.98,0.86,1106.89,34.54,24.56,9.92,none,0
56.9,42.25,63.86,57.97,46.03,667.83,6.22,1440.7,93.14,524.34,16.52,network_degradation,1
78.35,55.85,34.61,93.37,89.36,769.85,6.39,1127.29,129.63,54.22,1.03,database_connection_exhaustion,1
93.71,79.82,53.68,49.65,42.64,342.64,2.82,1540.2,184.72,30.33,34.06,cpu_saturation,1
81.14,51.75,96.29,62.22,28.7,350.77,7.05,1151.16,23.32,40.86,15.52,disk_exhaustion,1
52.76,35.34,78.45,49.4,34.7,74.97,1.22,1046.41,47.38,23.6,-3.25,none,0
33.37,43.83,40.82,51.26,37.76,150.54,1.74,655.15,38.9,43.14,7.1,none,0
40.96,50.65,56.44,27.3,68.63,115.21,1.55,1291.3,24.87,43.55,-16.91,none,0
44.62,52.27,96.32,57.02,21.12,380.34,3.64,1215.7,23.22,80.74,-0.9,disk_exhaustion,1
78.06,42.67,45.3,43.36,47.9,1194.49,12.79,1604.87,167.81,48.37,14.7,api_availability_degradation,1
34.6,30.19,33.98,50.49,94.78,1261.39,8.71,2170.29,209.79,70.84,44.43,api_availability_degradation,1
48.4,57.92,95.57,96.48,99.56,828.55,6.1,1173.36,88.32,32.53,5.99,database_connection_exhaustion,1
52.0,49.87,33.35,88.72,18.33,78.01,2.25,1164.27,19.29,28.32,9.58,none,0
34.44,61.93,63.58,65.05,44.25,1043.37,10.25,1947.46,203.32,52.72,46.58,api_availability_degradation,1
34.43,61.02,42.86,63.95,64.95,149.49,0.98,825.99,13.59,26.16,3.2,none,0
20.85,44.2,96.2,39.91,31.58,617.35,5.14,990.1,34.81,42.71,9.97,disk_exhaustion,1
65.75,40.02,58.74,20.92,37.78,140.15,2.09,970.55,40.09,34.82,-0.78,none,0
55.36,45.46,18.6,54.54,31.06,776.27,7.51,1003.68,104.65,576.42,-3.75,network_degradation,1
58.42,44.78,77.32,63.44,66.38,198.4,1.01,1013.11,26.95,52.57,4.89,none,0
65.16,90.95,45.63,38.97,61.07,553.16,7.65,1059.0,35.41,23.97,2.21,memory_exhaustion,1
5.23,70.82,32.04,38.92,22.49,134.87,1.39,1402.67,40.81,20.75,-14.08,none,0
37.21,41.32,72.77,18.65,39.51,958.45,5.93,1324.53,108.01,457.94,-1.93,network_degradation,1
37.25,56.43,49.6,45.35,45.54,123.83,2.85,743.68,40.54,59.14,3.62,none,0
52.96,45.54,26.56,41.26,69.69,178.44,1.56,1189.06,27.83,40.44,0.69,none,0
36.96,46.22,94.02,42.09,53.48,525.96,4.59,912.62,10.2,23.55,11.09,disk_exhaustion,1
59.03,75.99,63.62,34.64,56.15,97.9,3.28,693.4,36.58,40.03,0.86,none,0
65.43,56.8,52.71,70.98,43.22,186.74,0.43,678.26,40.65,44.62,26.47,none,0
55.14,47.05,67.72,56.53,44.59,112.97,1.23,721.8,35.47,1.0,-0.81,none,0
83.03,92.03,63.74,27.88,39.33,433.36,4.44,1356.73,114.23,46.94,15.77,memory_exhaustion,1
25.72,56.99,60.62,42.27,45.92,153.26,1.85,1186.6,73.07,42.54,-1.44,none,0
23.88,40.91,65.34,39.08,51.1,113.4,1.86,1218.1,23.97,46.52,0.6,none,0
53.31,54.95,63.9,59.33,41.27,141.24,1.27,1086.32,27.92,41.89,-2.21,none,0
31.37,55.0,54.36,37.6,54.95,222.89,1.1,729.0,44.18,40.23,3.17,none,0
41.06,54.76,57.4,88.22,90.81,561.23,7.73,1112.51,100.53,51.93,4.04,database_connection_exhaustion,1
77.93,44.33,73.7,62.17,41.31,1141.37,6.46,1283.72,73.74,463.83,5.14,network_degradation,1
55.66,93.63,48.68,34.78,47.41,569.51,5.1,913.07,94.29,44.78,3.47,memory_exhaustion,1
95.69,75.85,42.34,20.03,38.31,517.13,3.67,2281.1,103.21,54.03,38.66,cpu_saturation,1
4.17,47.26,94.61,44.97,76.05,699.02,2.24,895.34,16.65,59.42,-17.02,disk_exhaustion,1
21.51,35.67,78.93,43.51,42.37,931.93,6.99,892.71,126.15,453.09,5.4,network_degradation,1
75.84,98.24,46.9,28.54,43.01,606.5,3.44,989.17,141.61,33.88,-7.77,memory_exhaustion,1
49.48,51.48,53.8,46.28,31.02,142.35,1.27,1071.37,45.68,53.42,9.4,none,0
37.41,27.28,70.16,42.13,41.72,112.16,2.45,1007.65,27.22,40.81,6.31,none,0
62.87,64.18,55.34,87.45,92.51,929.32,7.92,1375.01,156.55,21.54,-0.36,database_connection_exhaustion,1
43.64,45.57,34.64,49.18,37.18,136.15,0.99,848.57,39.75,38.13,19.94,none,0
62.74,43.27,53.16,51.41,59.39,199.93,2.28,931.22,56.19,48.22,-25.1,none,0
38.68,45.76,63.94,49.0,34.25,223.15,0.44,651.84,13.11,46.06,8.27,none,0
97.27,73.05,38.37,56.38,67.89,554.46,5.58,1514.57,76.05,68.52,30.66,cpu_saturation,1
97.92,62.58,81.87,27.48,39.69,575.62,6.96,1882.58,141.55,40.38,37.16,cpu_saturation,1
68.35,55.25,68.34,3.72,45.79,1039.33,8.67,1691.72,217.77,21.31,52.77,api_availability_degradation,1
47.35,23.47,55.46,38.62,53.84,169.85,0.73,1043.12,37.65,46.28,14.51,none,0
42.28,22.96,72.32,88.46,95.74,1122.09,9.72,1260.17,83.26,46.14,8.98,database_connection_exhaustion,1
59.99,62.4,61.19,14.7,36.94,155.42,1.31,457.85,26.08,26.04,10.91,none,0
52.85,45.57,55.3,43.74,58.7,1507.66,7.76,1733.07,221.55,46.99,33.25,api_availability_degradation,1
33.88,53.23,67.25,65.69,55.11,178.7,1.34,1054.13,7.58,48.48,9.32,none,0
44.4,64.3,47.88,70.46,66.74,206.6,1.55,944.44,24.44,25.41,9.68,none,0
98.14,62.69,38.89,60.92,46.44,843.68,4.43,2683.88,146.61,43.64,41.25,cpu_saturation,1
59.25,31.95,81.2,33.28,39.76,119.74,1.05,869.97,12.09,51.42,6.15,none,0
60.24,71.2,93.94,69.35,44.65,437.0,5.11,970.77,42.91,42.18,8.57,disk_exhaustion,1
51.04,67.83,52.6,55.5,44.54,131.77,0.25,990.15,27.54,26.94,-15.35,none,0
71.78,50.45,33.46,35.97,45.15,172.44,1.31,1505.3,61.03,45.74,1.34,none,0
25.07,61.99,57.58,26.89,36.24,178.67,0.17,776.62,23.01,54.63,22.14,none,0
98.2,64.47,100.0,47.36,5.9,676.57,2.78,1945.9,183.23,73.03,27.13,cpu_saturation,1
39.25,57.05,67.18,98.67,95.22,881.95,4.56,983.78,136.28,51.28,-5.51,database_connection_exhaustion,1
24.15,47.86,47.63,97.01,96.98,667.12,8.53,937.89,161.04,34.79,1.86,database_connection_exhaustion,1
55.59,21.04,58.97,65.75,38.27,295.01,0.0,1036.54,40.85,42.58,6.54,none,0
36.37,56.88,23.29,58.58,43.29,177.61,2.18,1932.56,50.98,21.97,26.62,none,0
38.34,52.08,50.14,49.23,42.47,1668.16,5.85,1527.62,125.63,54.52,42.61,api_availability_degradation,1
85.14,99.0,40.88,25.33,30.87,744.73,5.68,859.67,139.42,37.54,21.98,memory_exhaustion,1
54.49,63.33,56.78,29.1,62.46,803.34,8.05,1005.65,125.93,490.61,-3.48,network_degradation,1
33.51,55.22,59.93,31.8,51.22,118.83,2.02,989.21,35.91,42.64,4.44,none,0
57.63,51.45,56.56,93.66,94.44,1117.7,13.12,858.51,135.22,29.24,-1.55,database_connection_exhaustion,1
88.58,74.69,64.72,20.63,4.43,638.07,8.39,2049.7,234.03,34.14,30.95,cpu_saturation,1
